type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
S,17,3406.560889927714,0.18946181423598984,0.004736545355899746,1.1680020636033737,0,0.22129179000167518,1.087873194666474
S,18,3403.684051310539,0.18717192744730948,0.004679298186182737,1.170558186497458,0,0.21909563195595635,1.0770768543721931
S,19,3401.3067727597445,0.1846215042948196,0.00461553760737049,1.1648737751236604,0,0.2150607486769156,1.0572413179393088
S,20,3399.3387699385894,0.18232002469926223,0.004558000617481556,1.1584200318969158,0,0.21120316882756582,1.0382774073741612
S,21,3397.705702715065,0.18062261509566158,0.004515565377391539,1.1583662582591698,0,0.20922714280534774,1.0285632388479895
S,22,3396.346562554173,0.17935514471887604,0.004483878617971901,1.162334194013355,0,0.2084706175789634,1.0248441514165658
S,23,3395.2116393927813,0.17806413261026066,0.004451603315256516,1.1655273171450182,0,0.20753861076099187,1.0202623942962048
S,24,3394.2605421267135,0.17651926634979553,0.004412981658744888,1.1643956309906498,0,0.20553826252337676,1.0104286574563368
S,25,3393.460245757619,0.17489796993560836,0.004372449248390209,1.1599922466748884,0,0.20288028908448344,0.9973620269397432
S,26,3392.7834935420833,0.17351473821421382,0.004337868455355345,1.1573470259545853,0,0.2008167662315088,0.9872177229042621
S,27,3392.2077640202806,0.17245642116084625,0.004311410529021157,1.158277992058645,0,0.19975247721980502,0.9819856648726386
S,28,3391.714639699787,0.1715203067247265,0.004288007668118163,1.1604232865620858,0,0.19903615804164418,0.9784642308748351
S,29,3391.289229111744,0.170469538924783,0.004261738473119575,1.1609772998412717,0,0.19791126500608114,0.972934242707417
S,30,3390.9194679069105,0.16928096880557364,0.004232024220139341,1.159044159867697,0,0.19620411827084594,0.9645418881035219
S,31,3390.5954229042036,0.1681265136742195,0.004203162841855487,1.15660254063574,0,0.19445555286383176,0.9559459187935109
S,32,3390.308812618064,0.1671538899061561,0.004178847247653902,1.1558821793561782,0,0.1932102025525904,0.9498237611592002
S,33,3390.052787325951,0.16633136009994265,0.004158284002498566,1.1567307328589345,0,0.19240059606583,0.9458437255909214
S,34,3389.8218084404043,0.1655081753958425,0.004137704384896063,1.1574630173448157,0,0.19156959208890686,0.9417584996946102
S,35,3389.611452742512,0.1645909656924922,0.004114774142312305,1.1569997316438558,0,0.19043170313721658,0.9361646234417152
S,36,3389.418126964181,0.16362988984304827,0.004090747246076207,1.155584807359241,0,0.18908821473249277,0.9295600177180542
Su,1,3639,0.31065018142271683,0.007766254535567921,1,1469732213.1217115,0.31065018142271683,1
Su,2,3093.115218755988,0.6362059232302082,0.015905148080755206,1.447354960661909,1323224279.6460881,0.9208157989897314,2.964156643246033
Su,3,2645.9788296504803,0.7207638288684898,0.018019095721712244,1.6214056665587262,1139588985.5274873,1.1686505563779332,3.7619503424261436
Su,4,2613.93294014777,0.742475324483645,0.018561883112091122,1.5955418594095605,1218444280.7160385,1.1846504597923517,3.8134549104941295
Su,5,2914.479503704534,0.756982735411626,0.01892456838529065,1.5500359447851615,1505759356.1401238,1.1733504494698155,3.7770795564840838
Su,6,3194.0762162608094,0.7170154390265984,0.01792538597566496,1.4883516108817672,1802854514.267388,1.0671710837023352,3.435282344967259
Su,7,3209.1221037281725,0.627263862911293,0.015681596572782324,1.3736532779960224,1948635499.6583958,0.8616430614565452,2.773676350389976
Su,8,3029.1450641303163,0.5406334144881189,0.013515835362202971,1.248790146739584,1927630089.0236793,0.6751376810109403,2.173305284802804
